Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
--------------------------------------------------------------------------------
5266->5289           | 692   | 0.4759       | 0.5253       | 0.0495    
5289->5290           | 692   | 0.4759       | 0.5253       | 0.0495    
5290->7114           | 692   | 0.4759       | 0.5253       | 0.0495    
7114->5291           | 680   | 0.4759       | 0.5091       | 0.0332    
5291->5292           | 680   | 0.4759       | 0.5091       | 0.0332    
5292->7137           | 680   | 0.4759       | 0.5091       | 0.0332    
7137->7117           | 677   | 0.4759       | 0.5108       | 0.0349    
7117->5293           | 670   | 0.4759       | 0.5039       | 0.0280    
5293->5302           | 670   | 0.4759       | 0.5039       | 0.0280    
5302->4858           | 669   | 0.4759       | 0.5047       | 0.0289    
4858->5791           | 669   | 0.4759       | 0.5047       | 0.0289    
5791->5652           | 668   | 0.4759       | 0.5049       | 0.0291    
5652->5457           | 667   | 0.4759       | 0.5052       | 0.0293    
5457->4859           | 666   | 0.4759       | 0.5054       | 0.0295    
4859->4860           | 666   | 0.4759       | 0.5054       | 0.0295    
4860->4861           | 666   | 0.4759       | 0.5054       | 0.0295    
4861->5328           | 665   | 0.4759       | 0.5057       | 0.0298    
5328->4862           | 664   | 0.4759       | 0.5059       | 0.0301    
4862->5514           | 664   | 0.4759       | 0.5059       | 0.0301    
5514->5672           | 663   | 0.4759       | 0.5062       | 0.0303    
5672->4863           | 662   | 0.4759       | 0.5064       | 0.0306    
4863->5772           | 661   | 0.4759       | 0.5067       | 0.0308    
5772->6109           | 660   | 0.4759       | 0.5070       | 0.0311    
6109->6241           | 659   | 0.4759       | 0.5072       | 0.0314    
6241->4864           | 658   | 0.4759       | 0.5075       | 0.0316    
4864->6234           | 658   | 0.4759       | 0.5075       | 0.0316    
6234->5581           | 657   | 0.4759       | 0.5078       | 0.0319    
5581->6188           | 656   | 0.4759       | 0.5081       | 0.0322    
6188->6316           | 655   | 0.4759       | 0.5084       | 0.0325    
6316->5603           | 654   | 0.4759       | 0.5087       | 0.0329    
