time [h]	Qdot3 [W]
0	0.0
1	3765.3
2	4035.1
3	4206.7
4	4539.1
5	12940.6
6	13392.4
7	91651.5
8	81715.9
9	77151.0
10	69182.4
11	59020.2
12	57540.4
13	50057.4
14	50116.6
15	51231.2
16	51939.3
17	54016.1
18	55488.2
19	53284.8
20	53997.7
21	54862.7
22	55469.6
23	53752.6
24	1940.5
25	2245.5
26	2540.9
27	2690.8
28	2990.5
29	9207.8
30	9931.8
31	83702.6
32	71089.2
33	65385.6
34	60549.1
35	56448.4
36	51248.3
37	47028.2
38	42782.1
39	40375.8
40	42664.5
41	45955.8
42	47937.1
43	47237.5
44	47108.1
45	47094.0
46	47851.4
47	46893.9
48	1874.8
49	2083.3
50	2368.0
51	2562.8
52	2771.6
53	7886.6
54	8653.3
55	79486.6
56	66287.2
57	60653.3
58	51276.2
59	40616.6
60	33509.6
61	33392.7
62	33218.3
63	34909.2
64	35677.0
65	38661.8
66	41943.6
67	42030.5
68	43642.6
69	44785.5
70	45926.6
71	45218.4
72	1855.2
73	2050.8
74	2365.2
75	2618.2
76	2854.5
77	8165.3
78	9301.5
79	86193.8
80	72110.6
81	65640.5
82	56873.9
83	46352.0
84	38333.9
85	31920.7
86	30174.2
87	32229.5
88	35779.9
89	39099.2
90	41174.9
91	41051.6
92	41557.0
93	41712.1
94	41711.5
95	40609.8
96	1865.9
97	1974.2
98	2237.6
99	2478.4
100	2691.5
101	7118.5
102	8056.8
103	75228.1
104	63466.3
105	56922.4
106	50329.1
107	45972.7
108	43116.7
109	40608.3
110	38134.9
111	37709.1
112	40321.2
113	43288.2
114	44109.6
115	42061.0
116	40984.5
117	39698.5
118	38130.0
119	35959.5
120	1825.0
121	1902.1
122	2047.7
123	2258.8
124	2406.5
125	2515.7
126	3875.2
127	55621.7
128	46011.0
129	41250.7
130	36219.0
131	32937.3
132	29924.1
133	26758.2
134	25697.2
135	26876.4
136	30117.4
137	34141.8
138	36651.8
139	37233.2
140	37547.2
141	38243.3
142	38970.8
143	37947.0
144	1772.1
145	1857.2
146	2020.0
147	2217.5
148	2407.7
149	2652.6
150	4325.0
151	68060.7
152	58390.6
153	53798.2
154	47564.4
155	40289.6
156	34082.3
157	28528.4
158	27715.9
159	28970.4
160	31632.1
161	35705.8
162	38057.6
163	39661.4
164	40732.3
165	41561.1
166	42637.2
167	42125.6
168	1812.7
169	1916.5
170	2168.0
171	2439.0
172	2841.9
173	12122.9
174	12449.4
175	85133.7
176	71634.1
177	65394.1
178	56410.3
179	46752.3
180	37465.8
181	31873.5
182	29491.2
183	29700.0
184	32875.3
185	37934.4
186	42790.5
187	44079.5
188	46554.7
189	48352.8
190	49706.2
191	49479.0
192	1921.9
193	2172.7
194	2542.4
195	2784.3
196	3231.5
197	10472.0
198	11131.1
199	88182.0
200	73597.7
201	66291.0
202	59264.3
203	54928.3
204	45805.7
205	41709.6
206	38656.3
207	36113.3
208	39413.6
209	45202.7
210	48530.3
211	47417.9
212	47838.9
213	48538.7
214	48928.0
215	48448.4
216	1973.6
217	2238.5
218	2614.4
219	2874.7
220	3327.7
221	9810.2
222	10912.5
223	92878.3
224	78736.9
225	72041.7
226	63367.8
227	52490.0
228	43605.8
229	38510.7
230	37226.0
231	38693.0
232	43742.6
233	48924.1
234	52252.8
235	51510.1
236	52252.4
237	52522.7
238	52629.1
239	51423.6
240	2065.2
241	2337.7
242	2723.0
243	3013.6
244	3497.1
245	9822.3
246	10988.9
247	93318.8
248	78320.6
249	70888.9
250	61291.1
251	53064.6
252	55980.3
253	55001.0
254	52267.7
255	43895.4
256	46619.7
257	52395.1
258	57025.2
259	57422.9
260	59246.0
261	60478.5
262	61639.5
263	60344.8
264	2270.4
265	2588.6
266	2963.1
267	3391.3
268	4131.4
269	11011.3
270	12197.2
271	101703.0
272	85811.5
273	78015.3
274	69260.7
275	61314.1
276	57884.7
277	56542.2
278	57008.8
279	58150.5
280	59662.8
281	61537.2
282	62616.7
283	60496.5
284	60703.9
285	60791.5
286	60562.1
287	58378.7
288	2302.7
289	2627.7
290	3082.6
291	3610.2
292	4293.5
293	4903.3
294	7532.5
295	100221.0
296	85417.1
297	78570.0
298	70067.8
299	59497.2
300	60502.4
301	61420.5
302	61258.3
303	57832.7
304	54761.2
305	59854.9
306	63131.9
307	64698.3
308	65653.1
309	65955.8
310	65753.7
311	63317.8
312	2473.4
313	2904.5
314	3496.1
315	4184.1
316	4941.8
317	5449.1
318	8231.4
319	105703.0
320	91396.9
321	84526.9
322	77358.7
323	69719.1
324	62558.4
325	58249.6
326	55880.3
327	55040.7
328	57413.4
329	61708.4
330	64289.7
331	65068.7
332	65196.1
333	65314.9
334	65642.9
335	63808.4
336	2631.4
337	3176.7
338	3783.3
339	4505.8
340	5414.6
341	16524.2
342	19144.1
343	113011.0
344	97501.3
345	89308.6
346	77716.2
347	68850.6
348	69976.7
349	67304.7
350	64936.9
351	62902.2
352	58094.4
353	63056.5
354	66737.8
355	63200.8
356	64210.9
357	65263.1
358	66318.7
359	65152.4
360	2590.0
361	3146.5
362	3901.7
363	4776.8
364	5690.9
365	16125.2
366	17853.9
367	120649.0
368	103645.0
369	95173.6
370	83407.4
371	75205.4
372	75854.3
373	72127.5
374	68146.5
375	65840.6
376	60042.8
377	64232.1
378	67694.3
379	65761.8
380	66551.3
381	67047.2
382	67872.1
383	66444.4
384	2785.6
385	3445.2
386	4278.7
387	5226.3
388	6117.0
389	15606.6
390	17159.0
391	122290.0
392	104371.0
393	94762.1
394	81788.1
395	73684.4
396	74414.2
397	70481.8
398	66475.9
399	63967.4
400	57315.8
401	62053.4
402	66192.1
403	65030.9
404	66530.8
405	67657.5
406	68677.8
407	67112.5
408	2817.8
409	3504.5
410	4349.2
411	5233.2
412	6057.8
413	14920.8
414	16470.6
415	120541.0
416	102867.0
417	93728.2
418	81141.3
419	69749.5
420	72679.4
421	69268.4
422	67250.1
423	59047.8
424	61880.2
425	65905.6
426	67822.6
427	65304.7
428	65636.3
429	65601.3
430	65341.0
431	62862.6
432	2635.8
433	3211.0
434	3918.3
435	4574.1
436	5367.6
437	13294.9
438	14662.0
439	113766.0
440	98203.0
441	89722.8
442	77538.3
443	72006.8
444	72515.6
445	68826.0
446	65140.5
447	62798.5
448	56051.0
449	61232.0
450	65904.8
451	65363.2
452	66666.1
453	67398.4
454	67412.2
455	64264.4
456	2636.0
457	3199.7
458	3935.3
459	4622.7
460	5293.2
461	5763.4
462	8457.5
463	104501.0
464	89343.0
465	81428.6
466	72780.1
467	65570.8
468	57603.4
469	50519.0
470	45830.6
471	47770.3
472	50789.7
473	55321.1
474	58260.2
475	59911.6
476	60981.5
477	61514.4
478	61733.4
479	59305.4
480	2423.9
481	2800.6
482	3316.9
483	3759.6
484	4176.5
485	4622.2
486	6856.4
487	86722.8
488	74462.3
489	69000.6
490	62636.7
491	59270.6
492	53749.1
493	51825.7
494	52863.3
495	47645.1
496	52850.4
497	57528.4
498	60377.1
499	62040.6
500	62516.3
501	62567.2
502	62684.6
503	60622.4
504	2356.0
505	2673.3
506	3308.8
507	3908.5
508	4820.7
509	16017.3
510	18433.4
511	111153.0
512	95359.3
513	86374.9
514	78486.8
515	71969.4
516	65155.6
517	58413.4
518	53886.6
519	54041.4
520	57743.5
521	61622.1
522	63821.7
523	59684.0
524	59678.0
525	59369.4
526	58931.6
527	57163.7
528	2312.4
529	2644.5
530	3300.3
531	3922.3
532	4820.6
533	14735.9
534	16054.8
535	113665.0
536	97674.2
537	89847.9
538	81416.5
539	70647.1
540	75124.1
541	75017.1
542	72902.6
543	72230.6
544	65239.0
545	70113.5
546	74425.6
547	72020.7
548	73006.6
549	73720.2
550	74333.4
551	72368.2
552	2900.0
553	3706.6
554	4796.4
555	5947.5
556	6894.3
557	16664.9
558	18225.5
559	128216.0
560	110346.0
561	99713.6
562	85590.4
563	73197.6
564	63016.0
565	61717.2
566	62080.7
567	62251.5
568	65173.5
569	70206.1
570	73113.9
571	71210.8
572	72527.6
573	73602.0
574	74461.4
575	73144.0
576	3334.8
577	4267.8
578	5427.9
579	6596.6
580	7705.0
581	17137.9
582	18982.4
583	130000.0
584	117229.0
585	107244.0
586	93052.5
587	92200.8
588	87946.5
589	82091.1
590	76133.2
591	74272.3
592	70094.4
593	72135.0
594	75594.6
595	73257.8
596	74195.8
597	74869.2
598	75553.1
599	73720.0
600	3660.0
601	4642.2
602	5634.7
603	6550.6
604	7415.2
605	16212.5
606	17451.3
607	121931.0
608	102309.0
609	91764.8
610	80326.3
611	71399.9
612	65277.9
613	59056.9
614	56102.1
615	56106.2
616	59569.6
617	62657.8
618	64352.0
619	62024.7
620	62073.5
621	61898.3
622	61615.6
623	59392.1
624	2665.0
625	3187.3
626	3830.0
627	4358.8
628	4930.9
629	5350.1
630	7772.1
631	95390.3
632	80863.0
633	72809.0
634	65019.8
635	60621.3
636	58739.5
637	57238.6
638	56081.8
639	55611.0
640	56609.9
641	58099.7
642	58729.1
643	58736.9
644	58597.4
645	58427.1
646	58341.3
647	56491.5
648	2314.4
649	2626.8
650	3233.6
651	3762.5
652	4243.5
653	4778.8
654	7321.4
655	96197.4
656	82266.3
657	75008.7
658	64755.4
659	56031.9
660	48636.0
661	54683.3
662	55440.5
663	49517.7
664	50153.2
665	53961.9
666	55805.4
667	56642.8
668	56751.0
669	56471.9
670	56092.6
671	53970.6
672	2190.5
673	2438.3
674	2877.6
675	3313.9
676	3953.8
677	15087.5
678	16769.2
679	94567.6
680	79470.1
681	71837.3
682	66048.9
683	61884.0
684	59112.4
685	55480.5
686	52224.6
687	47748.1
688	48679.1
689	49608.9
690	49744.2
691	45495.8
692	44488.6
693	43991.5
694	44356.9
695	44155.4
696	1930.2
697	2098.9
698	2379.0
699	2697.6
700	3156.6
701	11620.3
702	12183.5
703	85167.8
704	71418.1
705	63803.6
706	53569.4
707	45916.4
708	47593.4
709	46180.1
710	44555.3
711	44126.0
712	40354.0
713	43230.2
714	47910.8
715	46457.6
716	46495.0
717	46676.6
718	47103.2
719	45993.4
720	1878.9
721	2022.1
722	2227.0
723	2418.9
724	2712.6
725	9210.6
726	9521.5
727	70031.3
728	57587.8
729	50646.1
730	42450.0
731	36531.8
732	37812.8
733	38488.8
734	37361.9
735	33946.9
736	31323.4
737	34112.4
738	37864.1
739	38060.1
740	39379.9
741	40439.2
742	40715.6
743	39728.8
744	1802.1
745	1887.5
746	2107.9
747	2378.7
748	2771.7
749	8708.2
750	9438.0
751	79710.0
752	66047.3
753	58077.7
754	49080.5
755	38486.1
756	32401.7
757	32757.5
758	33284.4
759	35079.8
760	37366.9
761	40181.8
762	43664.7
763	45150.7
764	46979.5
765	47617.7
766	47537.7
767	45867.5
768	1841.0
769	1971.8
770	2255.3
771	2547.0
772	2936.3
773	8883.6
774	9829.2
775	85462.2
776	71839.6
777	62956.5
778	53811.3
779	48636.4
780	46112.7
781	44989.6
782	36932.3
783	32608.6
784	34117.6
785	40494.9
786	46466.0
787	47286.1
788	49820.1
789	52324.9
790	53530.2
791	52338.0
792	1966.8
793	2229.0
794	2615.2
795	2950.3
796	3394.0
797	3929.1
798	6333.3
799	91755.4
800	78289.7
801	68593.9
802	55780.9
803	55069.7
804	53643.7
805	50932.9
806	48660.2
807	46975.6
808	43008.8
809	45306.7
810	50579.5
811	52974.5
812	54015.4
813	55726.5
814	57877.8
815	58274.7
816	2112.4
817	2414.7
818	2854.0
819	3331.5
820	3958.2
821	4514.3
822	7186.3
823	101695.0
824	86068.2
825	72382.3
826	58938.7
827	56214.7
828	51154.7
829	46975.5
830	44073.7
831	41780.2
832	39266.5
833	44057.7
834	47248.2
835	49122.0
836	49606.0
837	49579.1
838	49342.6
839	47523.0
840	1946.5
841	2146.8
842	2479.6
843	2733.6
844	3269.1
845	14254.8
846	15775.6
847	93521.8
848	79126.7
849	67690.4
850	55234.9
851	54333.9
852	50765.5
853	47573.9
854	41147.4
855	39081.7
856	38574.3
857	41842.0
858	44894.1
859	42701.7
860	44112.3
861	44865.4
862	44469.7
863	42555.1
864	1856.9
865	1946.6
866	2164.2
867	2381.0
868	2684.8
869	10519.8
870	10547.3
871	70349.3
872	57399.7
873	48802.9
874	40901.3
875	36586.2
876	30151.7
877	30329.4
878	31515.7
879	26750.6
880	28647.5
881	32839.0
882	36907.8
883	37698.7
884	39877.3
885	40600.0
886	41465.6
887	41217.6
888	1782.1
889	1879.6
890	2113.0
891	2379.9
892	2779.7
893	9457.9
894	10147.5
895	82923.9
896	68686.5
897	59601.3
898	47712.0
899	40115.1
900	44543.1
901	42753.0
902	40887.8
903	40263.5
904	39427.4
905	39333.8
906	45332.4
907	47200.3
908	50317.0
909	51533.8
910	50850.7
911	48541.4
912	1842.8
913	2017.5
914	2330.8
915	2587.5
916	2959.8
917	9408.0
918	10171.4
919	84750.3
920	69949.7
921	58864.2
922	47210.3
923	48357.9
924	45954.6
925	43442.4
926	41388.5
927	30802.8
928	31933.7
929	35882.3
930	39675.6
931	40901.0
932	44163.1
933	46057.5
934	46599.1
935	44950.4
936	1823.1
937	1928.4
938	2200.7
939	2473.8
940	2818.7
941	8780.7
942	9721.4
943	84488.7
944	70089.3
945	60456.4
946	48163.3
947	37085.5
948	33900.5
949	37349.0
950	36304.8
951	35159.3
952	28001.0
953	32010.6
954	40359.8
955	44400.3
956	47823.8
957	50563.9
958	51254.7
959	50398.1
960	1857.5
961	2072.6
962	2423.3
963	2764.7
964	3135.3
965	3607.1
966	5966.0
967	90456.1
968	77246.0
969	66505.2
970	56205.4
971	52793.5
972	46869.4
973	41149.0
974	37249.5
975	35077.4
976	33124.9
977	32062.8
978	39823.4
979	45426.2
980	48775.0
981	51167.6
982	52400.6
983	51281.2
984	1898.8
985	2124.9
986	2470.6
987	2760.8
988	3156.2
989	3626.2
990	6042.8
991	91829.1
992	77840.5
993	65761.2
994	56337.0
995	53692.4
996	47122.3
997	41462.3
998	37945.4
999	35956.5
1000	30816.2
1001	31659.2
1002	38533.6
1003	44633.0
1004	47170.7
1005	46864.4
1006	47346.3
1007	46471.1
1008	1856.0
1009	2013.9
1010	2334.7
1011	2618.2
1012	3108.7
1013	13951.7
1014	15139.9
1015	90766.7
1016	75481.9
1017	66259.6
1018	58504.5
1019	54170.9
1020	51234.1
1021	49223.1
1022	47485.9
1023	46010.3
1024	46188.4
1025	47862.3
1026	49756.9
1027	47128.0
1028	47433.0
1029	47711.9
1030	47905.5
1031	46410.5
1032	1883.9
1033	2051.3
1034	2369.1
1035	2626.5
1036	3056.2
1037	11364.9
1038	11895.3
1039	87082.5
1040	72230.7
1041	62522.4
1042	53068.6
1043	47779.5
1044	44266.6
1045	41661.3
1046	39777.2
1047	37454.7
1048	37242.1
1049	41720.2
1050	46934.7
1051	47284.1
1052	50826.0
1053	54556.0
1054	56393.4
1055	55197.9
1056	1988.8
1057	2230.7
1058	2579.8
1059	2860.7
1060	3335.9
1061	10751.9
1062	11672.3
1063	93996.1
1064	78435.5
1065	69079.2
1066	62107.7
1067	58257.7
1068	55781.0
1069	53884.7
1070	52142.4
1071	50980.0
1072	51062.0
1073	52823.1
1074	54542.4
1075	52775.9
1076	53165.0
1077	53241.1
1078	53491.5
1079	52423.5
1080	2032.0
1081	2279.9
1082	2642.3
1083	2980.2
1084	3531.8
1085	10787.6
1086	12096.8
1087	101536.0
1088	86110.2
1089	75468.6
1090	68250.9
1091	66491.0
1092	62341.7
1093	58787.4
1094	56801.3
1095	56289.5
1096	53415.6
1097	51263.5
1098	57602.6
1099	58088.2
1100	59401.6
1101	60753.8
1102	61846.9
1103	60743.0
1104	2245.7
1105	2606.9
1106	3098.5
1107	3854.8
1108	4813.4
1109	12941.8
1110	14500.9
1111	116879.0
1112	99093.6
1113	86073.4
1114	78700.5
1115	75087.1
1116	70155.9
1117	65599.2
1118	63745.2
1119	63475.1
1120	59653.0
1121	59136.9
1122	64026.4
1123	64408.0
1124	66032.9
1125	67076.4
1126	68383.4
1127	66562.9
1128	2489.1
1129	2910.6
1130	3583.6
1131	4486.6
1132	5273.0
1133	5892.4
1134	8755.3
1135	109559.0
1136	92950.2
1137	79529.1
1138	71272.9
1139	69633.1
1140	65806.4
1141	62346.9
1142	59153.5
1143	56858.5
1144	54582.4
1145	50898.6
1146	55548.5
1147	58126.2
1148	58425.3
1149	58374.6
1150	58345.8
1151	56532.2
1152	2294.6
1153	2620.3
1154	3057.3
1155	3548.6
1156	4095.5
1157	4615.9
1158	7136.5
1159	95870.7
1160	80764.4
1161	70522.7
1162	63453.8
1163	59997.7
1164	56821.5
1165	53351.2
1166	50312.8
1167	47726.1
1168	47840.9
1169	49240.2
1170	50538.5
1171	51185.3
1172	51844.9
1173	52419.7
1174	52646.3
1175	51255.5
1176	2102.8
1177	2342.5
1178	2718.3
1179	3067.1
1180	3712.2
1181	14852.6
1182	16807.4
1183	96933.0
1184	81659.5
1185	68846.3
1186	57052.2
1187	53021.2
1188	51442.9
1189	49399.6
1190	46192.6
1191	42568.5
1192	43142.8
1193	45186.2
1194	49515.7
1195	47890.4
1196	48963.5
1197	49424.9
1198	50040.2
1199	49224.5
1200	1983.8
1201	2193.1
1202	2533.4
1203	2843.9
1204	3315.9
1205	12153.0
1206	12783.9
1207	88697.9
1208	73245.1
1209	61404.9
1210	52793.9
1211	54724.8
1212	51671.1
1213	47499.8
1214	43833.9
1215	42834.1
1216	43834.5
1217	38411.8
1218	43744.9
1219	45029.9
1220	46576.6
1221	46885.2
1222	46952.4
1223	45679.2
1224	1867.7
1225	2031.8
1226	2321.0
1227	2602.8
1228	3007.3
1229	10125.1
1230	10647.5
1231	82581.7
1232	68268.0
1233	60188.1
1234	54361.9
1235	50126.2
1236	46630.3
1237	43309.5
1238	40221.1
1239	37431.8
1240	39070.1
1241	39873.8
1242	42476.6
1243	42680.5
1244	43700.6
1245	44287.3
1246	45620.2
1247	44587.1
1248	1862.1
1249	1996.7
1250	2289.7
1251	2573.8
1252	2970.3
1253	9136.4
1254	9955.4
1255	83290.6
1256	68354.3
1257	55245.1
1258	43575.1
1259	38047.6
1260	37975.6
1261	37500.7
1262	34048.5
1263	33456.6
1264	36520.9
1265	40463.1
1266	46702.0
1267	48467.6
1268	50124.0
1269	50839.7
1270	52604.3
1271	51689.3
1272	1931.4
1273	2166.3
1274	2531.7
1275	2849.0
1276	3331.7
1277	9838.9
1278	11049.8
1279	95175.0
1280	79541.9
1281	66808.2
1282	54527.1
1283	51284.4
1284	49778.7
1285	44416.7
1286	50952.6
1287	51301.6
1288	51194.8
1289	46769.0
1290	53802.4
1291	56096.8
1292	58402.0
1293	59459.2
1294	60491.5
1295	59558.4
1296	2184.6
1297	2552.5
1298	3031.8
1299	3664.8
1300	4421.4
